property_id,project_name,builder,city,locality,property_type,bhk,area_sqft,price_per_sqft,base_price,floor_number,total_floors,possession_status,amenities_score,year_built
RE5001,Palm Greens,Mahindra Lifespaces,Delhi NCR,Dwarka,Apartment,1,468,11227,5254000,7,20,Under Construction,3,2025
RE5002,Meadow Gardens,Godrej Properties,Nagpur,Manish Nagar,Apartment,1,591,7977,4714000,11,11,Ready to Move,3,2025
RE5003,Maple Enclave,Brigade Group,Nagpur,Wardha Road,Plot,0,5560,3590,19960000,0,0,Ready to Move,5,2020
RE5004,Amber Residency,Mahindra Lifespaces,Ahmedabad,Satellite,Apartment,2,840,5298,4450000,7,23,Under Construction,10,2027
RE5005,Royal Meadows,Kolte-Patil,Ahmedabad,SG Highway,Independent House,3,2399,7712,18501000,0,3,Under Construction,6,2025
RE5006,Palm Residency,Kalpataru,Chennai,Anna Nagar,Penthouse,5,4459,13717,61164000,6,9,Ready to Move,5,2023
RE5007,Pearl Grove,VTP Realty,Nagpur,Wardha Road,Plot,0,5571,7194,40078000,0,0,Ready to Move,3,2025
RE5008,Emerald Residency,Gera Developments,Nashik,College Road,Apartment,1,519,8383,4351000,10,26,Ready to Move,10,2020
RE5009,Palm County,Kalpataru,Nagpur,Manish Nagar,Apartment,4,1963,5876,11535000,10,28,Ready to Move,5,2019
RE5010,Maple Vista,Shapoorji Pallonji,Nagpur,Manish Nagar,Plot,0,1660,3862,6411000,0,0,Ready to Move,2,2022
RE5011,Palm Enclave,Prestige Group,Ahmedabad,SG Highway,Independent House,3,2189,5890,12893000,0,3,Ready to Move,6,2016
RE5012,Orchid Gardens,Mahindra Lifespaces,Nashik,Gangapur Road,Apartment,1,487,7932,3863000,1,8,Under Construction,10,2027
RE5013,Maple Heights,Rohan Builders,Ahmedabad,SG Highway,Apartment,4,1706,8444,14405000,8,10,Ready to Move,5,2017
RE5014,Sunrise Heights,Kolte-Patil,Delhi NCR,Noida Extension,Apartment,2,924,5331,4926000,10,10,Ready to Move,9,2018
RE5015,Crystal County,Nyati Group,Chennai,Velachery,Villa,4,2925,7889,23075000,0,2,Ready to Move,4,2018
RE5016,Golden Vista,Godrej Properties,Mumbai,Chembur,Independent House,3,1965,8229,16170000,0,3,Ready to Move,3,2024
RE5017,Orchid Address,Prestige Group,Chennai,OMR,Independent House,3,2330,7004,16319000,0,3,Ready to Move,8,2019
RE5018,Crystal Greens,Mahindra Lifespaces,Hyderabad,Kondapur,Independent House,4,2632,5637,14837000,0,1,Under Construction,7,2026
RE5019,Palm Meadows,Kolte-Patil,Chennai,Porur,Independent House,3,2257,6863,15490000,0,2,Ready to Move,6,2021
RE5020,Pearl Park,Shapoorji Pallonji,Hyderabad,Miyapur,Villa,5,4460,6031,26898000,0,3,Ready to Move,4,2017
